,United States,Armenia,Bulgaria,Canada,Croatia,Czechia,Finland,France,Ghana,Hungary,Jamaica,Japan,South Korea,Moldova,Mongolia,Morocco,Netherlands,Poland,Romania,Slovakia,Slovenia,Sweden,Ukraine,United Arab Emirates,United Kingdom
2023,802.41398918713,1.9240297068151888,17.11866431036649,85.5725212306777,0.0,32.27169827160827,26.09400288864491,309.7999832789775,0.0,16.453054033414208,0.0,53.841631309093145,175.32590701346192,0.0,0.0,0.0,4.305666479035071,0.0,11.554578401468511,16.546655478610624,5.813689762755083,53.456825367730104,65.79141581250207,20.90432276053259,49.62956627525449
2024,834.5234337081728,2.0010217906526164,17.803685769806524,88.99679618102556,0.0,33.56308441294632,27.13818201485089,322.19695729708184,0.0,17.111440393580754,0.0,55.996161136262685,182.34175863146925,0.0,0.0,0.0,4.47796227746045,0.0,12.016947077919227,17.2087873996125,6.04633070797196,55.595956778132155,68.42412890631596,21.74083134709059,51.615545864833976
2025,867.9177716151029,2.0810947941622477,18.51611908751924,92.55809711549715,0.0,34.90614673667813,28.224145073259887,335.0900093432704,0.0,17.796172780349597,0.0,58.23690675339436,189.63835697290364,0.0,0.0,0.0,4.657152674503624,0.0,12.49781792602301,17.897415229795328,6.288281026684845,57.820687794561906,71.16219279929933,22.610813709546584,53.68099652833646
2026,902.6484192758369,2.16437200360357,19.25706117800798,96.26190727378473,0.0,36.30295311990204,29.353564092115445,348.4989905045575,0.0,18.50830545784242,0.0,60.567318176517205,197.22693641485938,0.0,0.0,0.0,4.843513564820961,0.0,12.997931329749006,18.6135992309907,6.539913243321057,60.134443775796484,74.00982321511451,23.5156093364496,55.82909838484452
2027,938.768850538639,2.250981638666151,20.02765284997019,100.1139293132167,0.0,37.755654188005764,30.528178007639852,362.44454623020164,0.0,19.24893487767487,0.0,62.99098347770089,205.1191808899134,0.0,0.0,0.0,5.037331883285332,0.0,13.51805730031402,19.358442092528897,6.80161478926691,62.54078714996765,76.97140457406525,24.456611317399805,58.06315880926958
2028,976.3346790643725,2.341057049886058,20.82908056277001,104.12009408898642,0.0,39.266486625926696,31.749795341427674,376.9481481189508,0.0,20.01920136713375,0.0,65.51163430951418,213.3272418755631,0.0,0.0,0.0,5.238906046772043,0.0,14.058996661748164,20.1330906290201,7.07378859938544,65.04342289953696,80.05149674367136,25.435268487951227,60.386617524628484
2029,1015.4037439533654,2.43473692396211,21.662578253198014,108.28656978573102,0.0,40.83777662191582,33.02029698497802,392.0321269782882,0.0,20.82029088490842,0.0,68.1331516505505,221.86375710353107,0.0,0.0,0.0,5.4485464136233155,0.0,14.621582283902182,20.938737546074144,7.356853732404429,67.64620426575807,83.25484205937462,26.453087660345084,62.8030518980929
2030,1056.0361987987235,2.532165497288071,22.529429235330625,112.61977141452027,0.0,42.471943449107485,34.341639095652816,407.71970720657873,0.0,21.653436847079615,0.0,70.85957178086673,230.7418700177422,0.0,0.0,0.0,5.66657576149871,0.0,15.206680364794849,21.776623276677412,7.651246016129901,70.3531386814091,86.58637262618561,27.511635943508235,65.31618244896582
2031,1098.2946043032077,2.63349277802957,23.430968176414442,117.1263706898773,0.0,44.17150319040949,35.71585610851995,424.0350425510531,0.0,22.519922026177188,0.0,73.69509249653558,239.97525001093237,0.0,0.0,0.0,5.893329784347253,0.0,15.815191764274875,22.6480378910543,7.957418718478538,73.16839394092966,90.05121791251382,28.61254315588884,67.92987857706544
2032,1142.2440246022727,2.738874777087649,24.368583151817674,121.81330630203878,0.0,45.939072612448506,37.14506386871844,441.00325329668584,0.0,23.421080526230597,0.0,76.64407957287978,249.5781134710464,0.0,0.0,0.0,6.1291576092664135,0.0,16.44805339105069,23.55432308295378,8.275843245362138,76.09630461746224,93.65471264787278,29.757504334844185,70.64816452033654
2033,1187.9521274415738,2.848473748304575,25.343717782212597,126.6877946002705,0.0,47.777373194535656,38.63146288916853,458.65046494322524,0.0,24.358299836853174,0.0,79.71107348633937,259.5652456698299,0.0,0.0,0.0,6.374422334043751,0.0,17.10623964522369,24.496874235419345,8.607009866498688,79.14137873667845,97.40240503662021,30.9482823464443,73.47522555086178
2034,1235.4892883631844,2.962458438281737,26.35787345627967,131.7573407036872,0.0,49.689235318855296,40.17734173864258,477.00384842992634,0.0,25.333022969522744,0.0,82.9007964053219,269.9520235273163,0.0,0.0,0.0,6.629501586208859,0.0,17.790763918545995,25.477142569222934,8.951428470267517,82.30830471766555,101.30006530037981,32.186710599709684,76.41541441881323
2035,1284.9286990609316,3.0810043461942658,27.41261164235547,137.02975005668335,0.0,51.677602628328685,41.78508056541304,496.09166196991777,0.0,26.34675067934772,0.0,86.21815946079846,280.7544392872591,0.0,0.0,0.0,6.894788104456357,0.0,18.50268015471259,26.496637377270687,9.30962934877078,85.6019585915596,105.3536945622969,33.474695869462025,79.47325805426506
2036,1336.3464800716897,3.204293994002419,28.509556292583685,142.51314044676704,0.0,53.74553655886219,43.45715476190307,515.9432945586165,0.0,27.401043775739602,0.0,89.66827030784066,291.98912513996095,0.0,0.0,0.0,7.170690343335142,0.0,19.2430844720902,27.5569283484208,9.682164014310011,89.02741150904018,109.56953408680702,34.814221232134386,82.65346453718671
2037,1389.8217979761312,3.3325172074757536,29.65039634327076,148.2159545033,0.0,55.89622105295818,45.19613877598197,536.589311223177,0.0,28.497525525549417,0.0,93.25644098974041,303.6733788304122,0.0,0.0,0.0,7.4576331021349285,0.0,20.013116851381415,28.659647984291478,10.069606048534844,92.58993754824526,113.95407488914387,36.20734911906089,85.96093034634754
2038,1445.4369872893913,3.4658714084627813,30.83688831529588,154.1469726963879,0.0,58.132967461946,47.004710074773605,558.061500082645,0.0,29.637884152368215,0.0,96.98819611682065,315.82519029116526,0.0,0.0,0.0,7.756058178938331,0.0,20.81396289082243,29.806494112779916,10.472551985571322,96.29502183512808,118.51406772938137,37.65622449194697,89.400747898294
2039,1503.2776772293173,3.6045619188561027,32.07085901857916,160.31532685593518,0.0,60.45921964438101,48.88565326708087,580.3929212912734,0.0,30.823875435839753,0.0,100.86928137252997,328.4632693409523,0.0,0.0,0.0,8.066425050845547,0.0,21.646855631616916,30.99923250216248,10.89162223048952,100.14836898875873,123.2565335063984,39.16307814540955,92.97821338800713
2040,1563.432923557482,3.748802276721028,33.35420836477196,166.73051423167902,0.0,62.87855926846135,50.84186439077329,603.6179579403566,0.0,32.05732541498738,0.0,104.90567235991763,341.6070744916924,0.0,0.0,0.0,8.389211581418948,0.0,22.51307745641655,32.23969957980084,11.327462014524619,104.15591190457341,128.18877406776878,40.73023014167171,96.69883494331214
2041,1625.9953456959543,3.898814565074417,34.68891229249994,173.40241211585027,0.0,65.39471132662656,52.87635537173898,627.7723689969553,0.0,33.34013319971744,0.0,109.1035838021095,355.27684290824067,0.0,0.0,0.0,8.724914756436801,0.0,23.413962063771226,33.529805259639986,11.780742388522155,108.32382088909459,133.3183834522203,42.36009338270042,100.56834110559522
2042,1691.061269330945,4.054829753819956,36.077025809662956,180.34129305097616,0.0,68.01154987082876,54.992258661266305,652.8933443610206,0.0,34.67427389482794,0.0,113.46947911095086,369.49362156700977,0.0,0.0,0.0,9.07405144908898,0.0,24.350896521589025,34.87153588285161,12.252161256137052,112.65851316018686,138.65325958197317,44.05517732528708,104.59268964988554
2043,1758.7308747228856,4.217088055366331,37.520686157475566,187.55784064623873,0.0,70.73310397730661,57.19283205899526,679.0195621256878,0.0,36.06180164102451,0.0,118.0100803385486,384.2792996614357,0.0,0.0,0.0,9.437159215792759,0.0,25.325323402767527,36.26695727615044,12.742444448377181,117.16666272747533,144.20161642295895,45.81809184479094,108.77807675788176
2044,1829.1083509512941,4.385839294475846,39.02211610112023,195.06316602674195,0.0,73.56356395004622,59.48146372886431,706.1912481288999,0.0,37.504852777625885,0.0,122.7323785270349,399.6566423041828,0.0,0.0,0.0,9.814797123854055,0.0,26.338743006284673,37.71821793249227,13.252346841145934,121.85521066813972,149.97199663164432,47.65155125349433,113.13094655804723
2045,1902.3020563319087,4.561343292912917,40.58362735207925,202.86882494101337,0.0,76.5072877724799,61.861677415775716,734.4502378880538,0.0,39.00564913182829,0.0,127.64364447248741,415.6493255779781,0.0,0.0,0.0,10.207546612248363,0.0,27.39271566716892,39.22755231905108,13.782653517504434,126.7313758139048,155.9732847079303,49.558378479756556,117.65800104746182
2046,1978.4246852530882,4.743870269484685,42.20762412741509,210.986835553081,0.0,79.56880781735663,64.33713787101121,763.8400410130258,0.0,40.56650143959335,0.0,132.75143991957952,432.28197298904223,0.0,0.0,0.0,10.616012386846807,0.0,28.48886415890532,40.797284317568284,14.33418097644291,131.80266586568257,162.21472067437898,51.54150941440117,122.36621041070764
2047,2057.593441688341,4.93370125608968,43.89660685147899,219.4296969465183,0.0,82.75283782511501,66.91165649475138,794.4059081967533,0.0,42.18981290342634,0.0,138.06362920419608,449.5801933792423,0.0,0.0,0.0,11.040823351465553,0.0,29.6288761919764,42.42983080237124,14.90777839002233,137.07688895297812,168.70591430282872,53.60399743102842,127.26282375167541
2048,2139.930219652148,5.13112853041511,45.65317600574741,228.2104083689488,0.0,86.06428016150318,69.58919720438655,826.1949008865151,0.0,43.87808289252273,0.0,143.5883913619407,467.57062035534017,0.0,0.0,0.0,11.48263357617219,0.0,30.814507012384794,44.127705361569944,15.504328910821872,142.56216565585765,175.45685991030263,55.749018087212825,132.3553802548157
2049,2225.561790876911,5.336456065948992,47.480036132713735,237.3424892466395,0.0,89.50823336562013,72.37388253765417,859.2559637431815,0.0,45.63391079098003,0.0,149.334232721178,486.28095329604383,0.0,0.0,0.0,11.942123304339905,0.0,32.047582104158536,45.89352216716133,16.124751031705333,148.2669415079882,182.47795174699093,57.97987401382419,137.6517207930194
2050,2314.619999999994,5.5499999999999865,49.37999999999988,246.83999999999938,0.0,93.08999999999978,75.26999999999981,893.6399999999977,0.0,47.45999999999988,0.0,155.3099999999996,505.73999999999876,0.0,0.0,0.0,12.419999999999968,0.0,33.32999999999991,47.72999999999988,16.769999999999957,154.19999999999962,189.77999999999952,60.299999999999855,143.15999999999963
